timestamp,lap_number,track,lap_distance,track_position,speed_kmh,gas,brake,steer_angle,gear,rpm,heading,local_velocity_x,local_velocity_y,local_velocity_z,g_force_x,g_force_y,g_force_z
1750936110,1,monza,0.80254966,0.040497586,0.001660514,0.029999999,0,0,1,0,2.460297108,-0.000125221,1.56E-05,-0.000497679,0,0,0
1750936110,1,monza,0.802580178,0.040497586,0.001692869,0.119999997,0,0,1,0,2.460297108,-0.000136611,7.26E-06,-0.000440342,0,0,0
1750936110,1,monza,0.802580178,0.040497586,0.001835247,0.179999992,0,0,1,0,2.460297108,-0.000130593,8.57E-06,-0.00047485,0,0,0
1750936110,1,monza,0.802610695,0.040497586,0.00162546,0.269999981,0,0,1,0,2.460296869,-0.000111693,3.59E-05,-0.000453522,0,0,0
1750936110,1,monza,0.802610695,0.040497586,0.001761613,0.329999983,0,0,1,0,2.460296869,-0.000143373,-2.86E-05,-0.000472958,0,0,0
1750936110,1,monza,0.802641213,0.040497586,0.001702485,0.389999986,0,0,1,0,2.460297108,-0.000134646,8.18E-06,-0.000411639,0,0,0
1750936110,1,monza,0.802641213,0.040497586,0.001868494,0.479999989,0,0,1,0,2.460296869,-0.000119709,1.92E-05,-0.000458906,0,0,0
1750936110,1,monza,0.802641213,0.040497586,0.00172375,0.539999962,0,0,1,0,2.460296869,-0.000107898,3.08E-06,-0.000461771,0,0,0
1750936110,1,monza,0.802641213,0.040497586,0.001694031,0.599999905,0,0,1,0,2.460296869,-0.000109021,3.71E-05,-0.000397866,0,0,0
1750936110,1,monza,0.802671731,0.040497586,0.001640184,0.689999819,0,0,1,0,2.460296869,-0.000128774,-9.49E-06,-0.000466292,0,0,0
1750936110,1,monza,0.802702248,0.040497586,0.001753876,0.749999762,0,0,1,0,2.460296869,-0.000140931,8.75E-06,-0.000470182,0,0,0
1750936110,1,monza,0.802702248,0.040497586,0.001779719,0.809999704,0,0,1,0,2.460296869,-0.000161258,3.79E-05,-0.000462912,0,0,0
1750936110,1,monza,0.802702248,0.040497586,0.001767608,0.899999619,0,0,1,0,2.460296869,-0.000111639,-3.05E-06,-0.000450093,0,0,0
1750936110,1,monza,0.802702248,0.040497586,0.001759904,0.959999561,0,0,1,0,2.460296869,-0.000116566,-2.71E-05,-0.000474671,0,0,0
1750936110,1,monza,0.802733719,0.040497586,0.001768501,1,0,0,1,0,2.460296869,-0.000123588,1.62E-05,-0.000462249,0,0,0
1750936110,1,monza,0.802734673,0.040497586,0.001846001,1,0,0,1,0,2.460296869,-0.000101809,3.49E-05,-0.000437623,0,0,0
